,content,label
0,Be sure to tune in and watch Donald Trump on Late Night with David Letterman as he presents the Top Ten List tonight !,1
1,Donald Trump will be appearing on The View tomorrow morning to discuss Celebrity Apprentice and his new book Think Like A Champion !,1
2,Donald Trump reads Top Ten Financial Tips on Late Show with David Letterman : - Very funny !,1
3,New Blog Post : Celebrity Apprentice Finale and Lessons Learned Along the Way :,1
4,`` My persona will never be that of a wallflower - I ’ d rather build walls than cling to them '' -- Donald J. Trump,1
5,Miss USA Tara Conner will not be fired - `` I 've always been a believer in second chances . '' says Donald Trump,1
6,"Listen to an interview with Donald Trump discussing his new book , Think Like A Champion :",1
7,`` Strive for wholeness and keep your sense of wonder intact . '' -- Donald J. Trump,1
8,Enter the `` Think Like A Champion '' signed book and keychain contest :,1
9,"`` When the achiever achieves , it 's not a plateau , it ’ s a beginning . '' -- Donald J. Trump",1
10,`` Don ’ t be afraid of being unique - it 's like being afraid of your best self . '' -- Donald J. Trump,1
11,`` We win in our lives by having a champion 's view of each moment . '' -- Donald J. Trump,1
12,`` ... these days ... we could all use a little of the power of Trumpative thinking . '' –BarnesandNoble.com,1
13,`` Always know you could be on the precipice of something great . '' -- Donald J. Trump,1
14,Read a great interview with Donald Trump that appeared in The New York Times Magazine :,1
15,"`` Keep it fast , short and direct - whatever it is . '' -- Donald J. Trump",1
16,Do n't forget to enter the `` Think Like A Champion '' signed book and keychain contest :,1
17,Did you know Donald Trump is on Facebook ? - Become a fan today !,1
18,`` Your higher self is in direct opposition to your comfort zone . '' -- Donald J. Trump,1
19,Read an excerpt from Think Like A Champion by Donald J. Trump :,1
20,`` You have to know when to call it quits and when to keep moving forward . '' -- Donald J. Trump,1
21,Check out Donald Trump 's new iGoogle Showcase page :,1
22,"“ If you do n't have problems , you 're pretending or you do n't run your own business. ” –Donald J. Trump",1
23,Last week to enter the `` Think Like A Champion '' signed book and keychain contest :,1
24,Today is Donald Trump 's Birthday ! Send him your B'day wishes here :,1
25,Thanks to all for your thoughtful birthday wishes – Donald Trump,1
